id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0027,Colombia,69,M,Chan Chan,Cusco,2025-03-24,4,531.55,Auto
V0028,Brasil,33,M,Chan Chan,Puno,2025-08-05,8,2018.26,Avión
V0029,Colombia,58,M,Cañón del Colca,Puno,2025-06-02,10,4538.02,Auto
V0030,México,45,M,Machu Picchu,Puno,2025-09-21,6,3384.6,Tren
V0031,EE.UU.,46,F,Lago Titicaca,Puno,2025-05-01,1,4155.95,Tren
V0032,Colombia,58,M,Líneas de Nazca,Arequipa,2025-06-28,6,1188.29,Desconocido
V0033,Colombia,29,F,Chan Chan,La Libertad,2025-05-24,7,422.38,Tren
V0034,Argentina,33,M,Huacachina,La Libertad,2025-09-14,3,624.69,Tren
V0035,Perú,65,M,Chan Chan,Cusco,2024-12-22,10,3119.41,Desconocido
V0036,Brasil,41,F,Cañón del Colca,Arequipa,2024-11-05,1,1934.77,Tren
V0037,Ecuador,53,F,Machu Picchu,La Libertad,2025-04-12,3,3181.63,Auto
V0038,Perú,65,M,Líneas de Nazca,La Libertad,2025-06-30,9,3710.48,Desconocido
V0039,Argentina,22,F,Cañón del Colca,Ica,2025-04-26,1,4863.33,Desconocido
V0040,México,49,F,Lago Titicaca,Ica,2025-02-10,8,3662.4,Tren
V0041,Chile,69,F,Machu Picchu,Ica,2025-08-30,7,882.16,Desconocido
V0042,Chile,60,F,Lago Titicaca,Ica,2025-05-05,8,4121.92,Desconocido
V0043,Colombia,26,M,Cañón del Colca,Puno,2025-06-23,4,2623.02,Bus
V0044,Colombia,37,F,Lago Titicaca,La Libertad,2025-06-26,9,1254.59,Tren
V0045,Argentina,29,F,Lago Titicaca,Puno,2025-10-12,2,1138.27,Auto
V0046,Colombia,60,M,Machu Picchu,Arequipa,2025-03-14,2,3426.78,Desconocido
V0047,Brasil,26,F,Líneas de Nazca,Arequipa,2025-02-28,9,613.46,Auto
V0048,Argentina,28,M,Cañón del Colca,Arequipa,2025-10-09,7,3821.23,Desconocido
V0049,EE.UU.,34,M,Líneas de Nazca,Cusco,2025-06-27,6,4140.0,Auto
V0050,Argentina,33,F,Machu Picchu,Ica,2025-10-02,4,3018.7,Desconocido
V0051,Brasil,53,F,Machu Picchu,Cusco,2024-10-28,5,4328.87,Desconocido
V0052,Perú,51,M,Huacachina,Puno,2025-08-15,7,3967.36,Desconocido
V0053,Chile,19,F,Lago Titicaca,Ica,2025-01-11,4,2222.1,Bus
V0054,EE.UU.,52,F,Lago Titicaca,Ica,2024-10-31,3,4874.03,Bus
V0055,Ecuador,53,M,Líneas de Nazca,Ica,2025-07-28,3,2594.26,Auto
V0056,Chile,45,M,Lago Titicaca,Puno,2025-04-12,7,3566.9,Avión
V0057,Perú,46,M,Cañón del Colca,Cusco,2024-10-28,5,3828.9,Auto
V0058,Ecuador,61,F,Chan Chan,Arequipa,2025-02-02,8,4931.37,Auto
V0059,Brasil,40,F,Machu Picchu,Ica,2025-02-05,2,793.82,Desconocido
V0060,Colombia,20,M,Huacachina,Ica,2025-08-24,9,4578.94,Desconocido
V0061,Colombia,48,F,Chan Chan,Ica,2024-11-29,5,3913.57,Bus
V0062,Brasil,49,F,Chan Chan,Arequipa,2025-05-08,8,3703.92,Bus
V0063,Ecuador,66,M,Huacachina,Ica,2024-12-09,4,2693.96,Auto
V0064,Chile,70,F,Huacachina,La Libertad,2024-11-20,5,3913.25,Auto
V0065,EE.UU.,21,M,Cañón del Colca,Cusco,2025-08-05,1,3072.39,Auto
V0066,México,30,M,Machu Picchu,Ica,2025-03-07,9,3053.47,Auto
V0067,Perú,36,M,Chan Chan,Ica,2025-07-03,1,910.81,Auto
V0068,Brasil,25,F,Machu Picchu,Puno,2025-03-09,1,4027.93,Tren
V0069,Colombia,30,M,Huacachina,Puno,2025-02-25,7,2781.36,Bus
V0070,México,45,M,Cañón del Colca,La Libertad,2025-07-03,9,3890.64,Avión
V0071,EE.UU.,50,M,Machu Picchu,Arequipa,2025-03-03,5,3578.23,Auto
V0072,México,62,F,Lago Titicaca,La Libertad,2025-06-16,1,4925.28,Avión
V0073,México,25,F,Lago Titicaca,Cusco,2025-07-13,5,4960.54,Desconocido
V0074,Brasil,42,F,Chan Chan,Puno,2025-09-19,3,4964.24,Bus
V0075,Perú,56,F,Machu Picchu,Puno,2025-06-19,3,2212.09,Auto
V0076,Brasil,24,F,Machu Picchu,Ica,2025-01-11,8,3540.76,Desconocido
V0077,México,40,F,Chan Chan,La Libertad,2024-12-14,5,2771.86,Desconocido
V0078,Chile,57,F,Cañón del Colca,Ica,2025-07-31,10,1143.22,Desconocido
V0079,Argentina,60,F,Huacachina,Cusco,2025-03-18,10,2809.08,Auto
V0080,Ecuador,50,F,Cañón del Colca,Cusco,2025-04-12,2,2096.66,Tren
V0081,Ecuador,19,M,Cañón del Colca,Puno,2025-08-16,10,1969.55,Avión
V0082,EE.UU.,64,M,Cañón del Colca,Puno,2024-12-19,7,794.51,Avión
V0083,Perú,50,F,Chan Chan,Arequipa,2025-04-25,7,4119.0,Auto
V0084,México,55,F,Líneas de Nazca,La Libertad,2025-04-15,5,4637.99,Desconocido
V0085,Chile,48,M,Líneas de Nazca,La Libertad,2025-02-06,3,2533.46,Tren
V0086,Argentina,18,M,Huacachina,La Libertad,2025-05-17,6,2540.94,Tren
V0087,Brasil,27,M,Huacachina,Cusco,2024-11-01,4,2440.64,Tren
V0088,Brasil,61,M,Lago Titicaca,Arequipa,2025-01-06,3,4359.18,Tren
V0089,Perú,18,M,Cañón del Colca,Arequipa,2025-04-06,10,1090.14,Avión
V0090,Argentina,22,M,Huacachina,Ica,2025-02-13,6,401.79,Auto
V0091,Ecuador,44,M,Machu Picchu,Ica,2025-09-12,6,3095.71,Bus
V0092,Perú,29,F,Lago Titicaca,Ica,2025-05-10,3,4231.8,Desconocido
V0093,Perú,61,M,Cañón del Colca,Arequipa,2025-10-16,1,2390.49,Auto
V0094,Ecuador,36,M,Machu Picchu,Ica,2025-10-10,5,3659.75,Desconocido
V0095,EE.UU.,46,F,Lago Titicaca,Ica,2025-01-27,1,3825.21,Avión
V0096,México,53,M,Cañón del Colca,Arequipa,2025-07-07,2,3498.86,Bus
V0097,Brasil,35,M,Huacachina,Puno,2024-12-15,10,3588.02,Tren
V0098,EE.UU.,67,F,Cañón del Colca,Arequipa,2025-04-24,7,4911.66,Bus
V0099,México,64,M,Cañón del Colca,Arequipa,2024-12-22,7,4403.93,Tren
V0100,Ecuador,32,F,Machu Picchu,Puno,2025-10-01,9,1466.86,Tren
V0101,Chile,68,M,Machu Picchu,Arequipa,2025-01-03,10,420.64,Desconocido
V0102,Chile,51,M,Huacachina,Puno,2025-09-07,4,3483.13,Tren
V0103,EE.UU.,61,M,Lago Titicaca,Puno,2025-03-08,3,3404.47,Tren
V0104,Argentina,42,F,Lago Titicaca,Arequipa,2025-01-29,10,3599.09,Auto
V0105,Brasil,43,F,Lago Titicaca,Puno,2025-05-03,10,3772.73,Desconocido
V0106,Ecuador,62,F,Chan Chan,Cusco,2025-03-22,10,2864.55,Desconocido
V0107,Chile,41,M,Chan Chan,Ica,2025-07-06,1,4745.46,Bus
V0108,Argentina,58,M,Cañón del Colca,La Libertad,2025-01-05,8,4288.84,Desconocido
V0109,México,40,F,Cañón del Colca,Ica,2024-10-24,4,4521.78,Desconocido
V0110,México,36,M,Líneas de Nazca,La Libertad,2024-12-16,5,3829.6,Tren
V0111,EE.UU.,54,M,Huacachina,Arequipa,2025-06-20,9,590.67,Desconocido
V0112,Brasil,39,M,Chan Chan,Arequipa,2025-04-22,3,788.38,Tren
V0113,EE.UU.,66,M,Cañón del Colca,Arequipa,2025-04-28,6,3501.19,Tren
V0114,EE.UU.,60,F,Líneas de Nazca,Arequipa,2025-07-21,10,2225.4,Auto
V0115,Ecuador,24,M,Huacachina,Ica,2025-02-28,2,732.3,Desconocido
V0116,EE.UU.,55,M,Huacachina,Arequipa,2024-12-25,5,3200.65,Bus
V0117,Argentina,21,F,Huacachina,Puno,2025-02-22,4,1046.02,Auto
V0118,EE.UU.,60,F,Líneas de Nazca,Cusco,2024-12-09,5,2708.16,Auto
V0119,Brasil,63,M,Líneas de Nazca,Ica,2025-09-16,4,2118.9,Desconocido
V0120,Colombia,31,M,Cañón del Colca,Puno,2024-10-30,9,4629.04,Desconocido
V0121,Argentina,49,F,Cañón del Colca,Puno,2025-06-30,1,3281.24,Bus
V0122,Chile,61,M,Chan Chan,Puno,2025-05-03,9,1356.81,Tren
V0123,Chile,26,M,Machu Picchu,Ica,2024-12-07,7,4705.66,Bus
V0124,Argentina,34,M,Machu Picchu,Puno,2025-06-14,7,2703.17,Avión
V0125,Chile,43,F,Machu Picchu,Cusco,2024-12-08,10,337.59,Bus
V0126,Perú,40,F,Chan Chan,Ica,2025-01-04,7,446.63,Desconocido
V0127,Argentina,38,F,Huacachina,Cusco,2025-10-15,1,2370.22,Desconocido
V0128,EE.UU.,57,M,Lago Titicaca,Puno,2025-01-03,4,4265.28,Auto
V0129,EE.UU.,31,M,Lago Titicaca,Arequipa,2025-01-17,1,1321.43,Auto
V0130,Perú,46,F,Chan Chan,Ica,2025-05-15,2,1233.72,Desconocido
V0131,Argentina,59,F,Huacachina,Puno,2025-07-01,2,4805.3,Desconocido
V0132,Perú,69,F,Lago Titicaca,Arequipa,2024-12-13,1,3358.03,Avión
V0133,Argentina,21,F,Lago Titicaca,Puno,2025-04-24,9,1265.52,Desconocido
V0134,Argentina,54,F,Chan Chan,Arequipa,2025-09-24,5,1855.19,Tren
V0135,EE.UU.,63,M,Huacachina,Ica,2025-03-12,2,2824.88,Tren
V0136,Colombia,62,F,Chan Chan,Cusco,2025-05-25,7,3026.46,Tren
V0137,Colombia,46,F,Lago Titicaca,Puno,2024-10-31,1,2274.66,Auto
V0138,Ecuador,38,F,Machu Picchu,Ica,2025-02-25,2,4085.27,Bus
V0139,Perú,23,M,Lago Titicaca,Ica,2024-12-31,3,1259.53,Desconocido
V0140,Chile,65,M,Lago Titicaca,Arequipa,2024-12-11,10,4304.76,Tren
V0141,EE.UU.,65,M,Machu Picchu,La Libertad,2025-08-11,8,3251.83,Bus
V0142,Perú,30,M,Machu Picchu,Arequipa,2025-09-20,10,4805.17,Bus
V0143,Ecuador,33,M,Machu Picchu,La Libertad,2025-07-26,8,3579.46,Tren
V0144,Ecuador,43,F,Chan Chan,Arequipa,2025-10-03,10,739.33,Avión
V0145,Chile,31,F,Cañón del Colca,Puno,2025-01-31,1,1071.85,Avión
V0146,Ecuador,54,M,Lago Titicaca,La Libertad,2025-03-15,9,1053.56,Desconocido
V0147,Colombia,48,F,Huacachina,Cusco,2025-03-31,2,1026.8,Auto
V0148,Ecuador,55,F,Machu Picchu,La Libertad,2024-12-20,8,4055.41,Auto
V0149,Perú,50,F,Chan Chan,Puno,2024-12-24,9,1923.2,Desconocido
V0150,EE.UU.,27,F,Cañón del Colca,Puno,2025-06-17,4,1712.19,Auto
V0151,Brasil,19,M,Lago Titicaca,Ica,2024-12-14,2,4388.36,Tren
V0152,Argentina,33,F,Machu Picchu,Ica,2025-04-16,9,3473.5,Auto
V0153,Ecuador,51,F,Chan Chan,Arequipa,2025-06-18,9,2304.58,Desconocido
V0154,México,70,F,Machu Picchu,Ica,2025-08-23,10,4725.39,Desconocido
V0155,Perú,25,M,Machu Picchu,Puno,2025-04-08,6,426.49,Desconocido
V0156,EE.UU.,56,F,Machu Picchu,Ica,2025-09-14,2,3853.39,Tren
V0157,EE.UU.,69,M,Huacachina,La Libertad,2025-02-08,3,4482.6,Avión
V0158,Colombia,37,F,Chan Chan,Puno,2024-12-22,3,2540.43,Tren
V0159,México,54,F,Cañón del Colca,La Libertad,2025-06-20,3,1403.74,Auto
V0160,Argentina,47,F,Chan Chan,Ica,2025-10-09,3,881.19,Desconocido
V0161,Chile,30,M,Huacachina,La Libertad,2025-07-19,3,3442.3,Bus
V0162,Colombia,55,F,Huacachina,Cusco,2025-10-11,8,3344.51,Tren
V0163,Ecuador,23,F,Machu Picchu,Cusco,2025-09-26,6,384.27,Tren
V0164,Brasil,23,F,Cañón del Colca,Puno,2025-06-05,8,1907.67,Avión
V0165,Argentina,65,M,Machu Picchu,Ica,2024-10-29,3,1245.22,Avión
V0166,Argentina,19,M,Chan Chan,Ica,2024-11-28,10,452.07,Desconocido
V0167,Ecuador,48,F,Machu Picchu,Ica,2025-08-04,7,4434.38,Avión
V0168,Argentina,34,F,Chan Chan,Cusco,2025-06-16,2,1899.73,Auto
V0169,México,69,F,Cañón del Colca,La Libertad,2024-12-09,7,2834.09,Desconocido
V0170,Ecuador,70,F,Lago Titicaca,Puno,2025-05-26,7,2307.0,Desconocido
V0171,Perú,66,M,Líneas de Nazca,Puno,2024-12-01,2,2088.03,Auto
V0172,Brasil,47,M,Líneas de Nazca,La Libertad,2025-05-26,5,4940.15,Desconocido
V0173,Brasil,30,M,Chan Chan,Cusco,2025-03-05,9,4569.73,Desconocido
V0174,Colombia,21,F,Chan Chan,La Libertad,2025-07-30,2,2883.59,Bus
V0175,EE.UU.,27,F,Cañón del Colca,La Libertad,2025-09-06,6,1033.06,Desconocido
V0176,Brasil,21,F,Cañón del Colca,La Libertad,2024-11-19,6,497.92,Avión
V0177,EE.UU.,56,M,Cañón del Colca,Arequipa,2025-02-20,6,1973.06,Desconocido
V0178,Chile,37,M,Chan Chan,Ica,2025-01-01,10,2636.92,Desconocido
V0179,México,20,F,Chan Chan,Ica,2025-09-16,1,3183.26,Tren
V0180,EE.UU.,40,F,Machu Picchu,Cusco,2025-07-09,9,1523.36,Bus
V0181,Argentina,29,F,Huacachina,Ica,2025-01-27,7,3763.61,Desconocido
V0182,México,46,F,Cañón del Colca,La Libertad,2025-05-06,7,3521.64,Desconocido
V0183,Chile,40,F,Huacachina,Puno,2025-04-20,9,1116.24,Auto
V0184,EE.UU.,59,F,Lago Titicaca,Puno,2024-11-04,5,349.68,Desconocido
V0185,México,66,F,Líneas de Nazca,Cusco,2025-02-17,5,3030.97,Auto
V0186,México,57,M,Huacachina,Arequipa,2025-05-07,8,606.77,Auto
V0187,Brasil,18,M,Lago Titicaca,Arequipa,2025-08-07,4,3200.14,Auto
V0188,Argentina,69,M,Machu Picchu,La Libertad,2025-08-07,7,3456.53,Bus
V0189,Colombia,52,M,Chan Chan,Puno,2025-09-12,1,2092.65,Tren
V0190,EE.UU.,32,F,Machu Picchu,Cusco,2024-11-13,10,2745.59,Desconocido
V0191,EE.UU.,31,M,Machu Picchu,Puno,2025-05-25,2,1211.55,Bus
V0192,EE.UU.,50,F,Chan Chan,Arequipa,2025-05-17,1,4949.92,Avión
V0193,Argentina,52,F,Huacachina,Arequipa,2025-03-28,4,3353.65,Bus
V0194,Ecuador,41,M,Lago Titicaca,La Libertad,2025-03-29,6,4776.33,Auto
V0195,EE.UU.,65,M,Huacachina,Ica,2025-04-07,3,3688.61,Desconocido
V0196,Ecuador,50,M,Machu Picchu,La Libertad,2025-05-02,6,3314.23,Bus
V0197,Argentina,19,F,Huacachina,La Libertad,2025-04-24,4,4718.85,Auto
V0198,Colombia,27,F,Líneas de Nazca,Cusco,2024-11-25,1,4373.61,Bus
V0199,Chile,38,F,Huacachina,Ica,2025-04-29,9,3081.61,Desconocido
V0200,Brasil,30,M,Chan Chan,Puno,2024-11-13,6,2624.6,Avión
V0201,Ecuador,66,F,Cañón del Colca,Ica,2025-01-01,8,3773.02,Desconocido
V0202,EE.UU.,39,M,Cañón del Colca,Ica,2025-02-04,8,448.37,Auto
V0203,Brasil,28,M,Huacachina,Arequipa,2025-02-23,5,4973.12,Desconocido
V0204,Argentina,45,F,Huacachina,Ica,2025-06-10,2,3226.56,Auto
V0205,México,19,M,Lago Titicaca,Cusco,2025-09-24,10,3087.37,Avión
V0206,Argentina,63,F,Líneas de Nazca,Puno,2024-10-27,4,2520.69,Bus
V0207,Chile,47,F,Lago Titicaca,La Libertad,2025-09-12,9,3044.68,Desconocido
V0208,Brasil,18,F,Machu Picchu,Ica,2025-04-02,9,3010.81,Tren
V0209,Argentina,65,M,Huacachina,Cusco,2025-08-10,4,531.64,Tren
V0210,EE.UU.,46,F,Lago Titicaca,La Libertad,2024-11-29,5,743.95,Tren
V0211,México,47,M,Líneas de Nazca,Puno,2024-10-21,8,634.04,Tren
V0212,Argentina,43,M,Huacachina,La Libertad,2025-05-27,3,2435.76,Desconocido
V0213,Brasil,68,M,Lago Titicaca,La Libertad,2025-06-29,2,4459.92,Desconocido
V0214,Brasil,45,F,Líneas de Nazca,Puno,2025-07-30,9,2121.28,Auto
V0215,Chile,30,M,Machu Picchu,Cusco,2025-03-07,2,4414.17,Desconocido
V0216,México,70,F,Líneas de Nazca,Puno,2025-02-25,1,4799.47,Tren
V0217,Brasil,46,M,Líneas de Nazca,Arequipa,2024-12-13,8,2269.54,Avión
V0218,México,38,F,Chan Chan,Ica,2024-12-19,7,3481.1,Auto
V0219,México,51,F,Chan Chan,La Libertad,2025-01-03,10,4817.73,Avión
V0220,Colombia,28,F,Chan Chan,Cusco,2025-04-16,9,1598.97,Tren
V0221,EE.UU.,37,M,Chan Chan,Ica,2025-03-12,1,1881.05,Tren
V0222,México,59,F,Machu Picchu,Puno,2025-05-07,10,1887.03,Auto
V0223,Chile,37,M,Chan Chan,Puno,2025-07-08,5,3231.64,Bus
V0224,Brasil,66,F,Lago Titicaca,Puno,2025-10-01,5,1229.79,Desconocido
V0225,EE.UU.,38,M,Chan Chan,Ica,2025-04-29,2,2238.67,Desconocido
V0226,Perú,27,F,Machu Picchu,Arequipa,2025-04-07,9,3647.8,Avión
V0227,Brasil,27,F,Machu Picchu,Cusco,2025-04-09,5,4215.08,Desconocido
V0228,México,69,F,Machu Picchu,Arequipa,2025-09-26,4,4096.18,Avión
V0229,Chile,63,F,Lago Titicaca,Cusco,2025-09-22,5,2488.53,Desconocido
V0230,Ecuador,54,M,Chan Chan,Cusco,2025-07-08,3,4150.79,Desconocido
V0231,Perú,46,F,Lago Titicaca,Arequipa,2025-03-02,7,2758.11,Desconocido
V0232,EE.UU.,33,F,Lago Titicaca,Puno,2025-08-22,8,4785.89,Desconocido
V0233,Perú,48,M,Líneas de Nazca,Cusco,2025-07-29,9,2448.73,Bus
V0234,México,36,M,Machu Picchu,Puno,2024-11-05,10,4668.65,Bus
V0235,Argentina,33,M,Chan Chan,La Libertad,2025-05-02,10,690.63,Auto
V0236,México,28,F,Lago Titicaca,Puno,2024-11-18,6,2236.45,Desconocido
V0237,EE.UU.,36,F,Chan Chan,Cusco,2024-11-28,5,811.18,Auto
V0238,Argentina,64,F,Lago Titicaca,Cusco,2025-04-19,3,1875.04,Tren
V0239,Colombia,54,F,Cañón del Colca,Cusco,2025-01-23,5,804.03,Bus
V0240,Brasil,67,M,Lago Titicaca,Puno,2025-02-16,8,488.18,Desconocido
V0241,Colombia,21,M,Líneas de Nazca,Puno,2025-05-10,6,1829.93,Desconocido
V0242,México,41,M,Chan Chan,Cusco,2025-10-06,6,3599.81,Bus
V0243,EE.UU.,54,M,Huacachina,Puno,2024-12-09,5,369.22,Auto
V0244,Ecuador,32,F,Cañón del Colca,Arequipa,2025-10-16,10,4253.79,Desconocido
V0245,Chile,51,M,Líneas de Nazca,Puno,2025-09-01,9,1179.66,Bus
V0246,Chile,50,F,Machu Picchu,Cusco,2025-06-26,10,3543.12,Desconocido
V0247,EE.UU.,50,M,Huacachina,La Libertad,2024-12-09,1,4039.73,Avión
V0248,Colombia,38,F,Huacachina,Ica,2025-09-29,7,1758.02,Auto
V0249,Argentina,67,M,Líneas de Nazca,La Libertad,2024-12-02,2,933.09,Desconocido
V0250,Argentina,46,M,Chan Chan,Arequipa,2025-09-04,10,4755.19,Desconocido
V0251,Brasil,56,M,Chan Chan,Arequipa,2025-01-28,2,981.57,Avión
V0252,Colombia,25,F,Lago Titicaca,La Libertad,2025-09-05,7,4351.26,Bus
V0253,Argentina,69,F,Huacachina,Ica,2025-06-21,3,514.66,Tren
V0254,Chile,22,M,Líneas de Nazca,Arequipa,2025-05-14,7,1640.06,Bus
V0255,México,31,F,Machu Picchu,Cusco,2025-10-09,5,3198.99,Tren
V0256,Chile,64,M,Machu Picchu,La Libertad,2024-10-29,7,2588.54,Desconocido
V0257,Ecuador,45,M,Cañón del Colca,Puno,2025-05-09,1,1665.04,Auto
V0258,Colombia,28,M,Lago Titicaca,Cusco,2025-10-07,2,4786.55,Bus
V0259,Argentina,39,M,Chan Chan,Arequipa,2025-01-31,7,1916.71,Desconocido
V0260,Argentina,52,M,Líneas de Nazca,La Libertad,2025-01-12,2,500.17,Auto
V0261,EE.UU.,38,F,Líneas de Nazca,Arequipa,2025-04-15,9,4609.29,Auto
V0262,México,64,F,Chan Chan,Cusco,2025-07-14,3,4814.68,Bus
V0263,Perú,51,F,Lago Titicaca,Puno,2025-09-15,2,1981.84,Tren
V0264,Ecuador,47,M,Chan Chan,Cusco,2025-07-05,1,4032.45,Desconocido
V0265,México,39,M,Huacachina,Arequipa,2025-09-17,8,2130.43,Bus
V0266,Brasil,35,F,Lago Titicaca,Puno,2024-10-22,10,1100.76,Desconocido
V0267,México,47,M,Chan Chan,La Libertad,2025-05-04,7,468.01,Auto
V0268,Ecuador,18,F,Cañón del Colca,Ica,2025-03-16,2,4016.77,Desconocido
V0269,EE.UU.,41,M,Chan Chan,Puno,2025-06-01,2,2642.22,Bus
V0270,Argentina,21,M,Lago Titicaca,Cusco,2025-02-25,5,595.53,Desconocido
V0271,Chile,31,F,Líneas de Nazca,Arequipa,2024-10-28,10,2397.2,Desconocido
V0272,Chile,38,M,Huacachina,Puno,2025-07-10,1,4433.99,Tren
V0273,Argentina,39,F,Machu Picchu,Cusco,2025-05-03,4,1840.32,Desconocido
V0274,Brasil,41,F,Líneas de Nazca,Ica,2025-09-20,10,2645.76,Desconocido
V0275,Colombia,29,M,Líneas de Nazca,Ica,2025-02-25,3,4144.92,Bus
V0276,Argentina,67,M,Lago Titicaca,Cusco,2024-11-16,8,1953.19,Tren
V0277,Brasil,43,M,Lago Titicaca,Ica,2025-03-26,5,2901.05,Desconocido
V0278,Argentina,30,F,Huacachina,La Libertad,2025-02-09,8,4635.3,Tren
V0279,Argentina,39,F,Huacachina,Arequipa,2025-08-27,7,2372.06,Desconocido
V0280,Chile,69,M,Chan Chan,Puno,2025-06-05,5,3052.39,Bus
V0281,EE.UU.,59,M,Cañón del Colca,Arequipa,2025-04-27,4,2137.72,Tren
V0282,Brasil,56,F,Cañón del Colca,Arequipa,2025-09-23,5,1031.58,Desconocido
V0283,EE.UU.,54,F,Líneas de Nazca,Puno,2025-01-07,1,4116.63,Tren
V0284,Colombia,49,F,Huacachina,Arequipa,2025-04-22,2,2103.43,Auto
V0285,Argentina,26,F,Lago Titicaca,Arequipa,2025-09-04,8,4706.73,Avión
V0286,EE.UU.,59,F,Chan Chan,Arequipa,2024-12-10,2,4298.29,Tren
V0287,Argentina,28,M,Cañón del Colca,La Libertad,2025-01-05,1,1247.84,Desconocido
V0288,Ecuador,66,M,Chan Chan,Ica,2025-06-15,8,1951.6,Bus
V0289,EE.UU.,40,F,Cañón del Colca,Cusco,2025-04-08,7,995.52,Avión
V0290,Argentina,68,M,Huacachina,Cusco,2025-06-27,8,1546.07,Auto
V0291,Argentina,27,F,Chan Chan,Ica,2025-04-06,4,714.29,Bus
V0292,México,26,M,Machu Picchu,Puno,2025-09-22,3,3238.55,Auto
V0293,EE.UU.,43,F,Lago Titicaca,Cusco,2024-10-25,8,832.99,Desconocido
V0294,Chile,20,F,Chan Chan,Puno,2025-10-05,1,1607.6,Desconocido
V0295,EE.UU.,34,F,Líneas de Nazca,Ica,2025-03-14,5,4191.47,Tren
V0296,Ecuador,33,M,Líneas de Nazca,Arequipa,2025-03-24,2,1446.43,Auto
V0297,Brasil,42,M,Machu Picchu,Puno,2025-07-12,2,974.36,Avión
V0298,Colombia,44,M,Huacachina,Ica,2025-09-18,5,3477.09,Desconocido
V0299,Perú,47,M,Machu Picchu,La Libertad,2024-12-23,7,1516.45,Desconocido
V0300,Brasil,54,M,Líneas de Nazca,Arequipa,2024-12-02,5,1022.71,Desconocido
V0301,EE.UU.,31,M,Huacachina,La Libertad,2025-09-22,5,3420.49,Desconocido
V0302,Perú,65,F,Huacachina,Puno,2025-05-07,7,686.83,Desconocido
V0303,Brasil,67,F,Cañón del Colca,La Libertad,2024-11-02,2,2291.24,Desconocido
V0304,Colombia,65,F,Lago Titicaca,Cusco,2025-03-21,8,4903.08,Avión
V0305,México,21,M,Machu Picchu,Puno,2025-10-07,4,4367.84,Desconocido
V0306,EE.UU.,55,F,Líneas de Nazca,Puno,2025-05-09,4,562.49,Auto
V0307,México,27,M,Cañón del Colca,La Libertad,2025-01-17,3,2105.28,Bus
V0308,México,19,F,Lago Titicaca,Ica,2024-12-26,9,3871.43,Auto
V0309,México,61,M,Lago Titicaca,Arequipa,2024-10-24,10,2536.78,Avión
V0310,Perú,61,M,Cañón del Colca,Arequipa,2025-06-01,6,1128.68,Auto
V0311,Brasil,62,F,Machu Picchu,La Libertad,2025-03-18,5,3565.46,Tren
V0312,México,30,F,Huacachina,Puno,2025-04-23,3,1481.97,Tren
V0313,Argentina,46,M,Cañón del Colca,Puno,2025-09-25,9,3989.54,Tren
